Lokasi,Titik Koordinat,Kondisi,Jenis PJU,Jenis Tiang,Jenis Lampu,Latitude,Longitude,Kondisi_Biner,geometry,index_right,Kecamatan_Final
"Hegarwangi, Ds. Hegarwangi, Kec. Bantarkalong",-7.628215 108.110919,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.628215,108.110919,0,POINT (108.110919 -7.628215),7.0,Bantarkalong
"Karanglayung, Ds. Simpang, Kec. Bantakalong",-7.623607 108.106485,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.623607,108.106485,0,POINT (108.106485 -7.623607),7.0,Bantarkalong
"Karanglayung, Ds. Simpang, Kec. Bantakalong",-7.623287 108.107344,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.623287,108.107344,0,POINT (108.107344 -7.623287),7.0,Bantarkalong
Jl karang nunggal simpang Bantar kalong,-7.6219029 108.1111577,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.6219029,108.1111577,0,POINT (108.1111577 -7.6219029),7.0,Bantarkalong
"Simpang, Ds. Simpang, Kec. Bantakalong",-7.622921 108.104324,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.622921,108.104324,0,POINT (108.104324 -7.622921),7.0,Bantarkalong
"Karang mekar, Ds. Hegarwangi, Kec. Bantakalong",-7.623272 108.108745,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.623272,108.108745,0,POINT (108.108745 -7.623272),7.0,Bantarkalong
Karangsari Hegarwangi Bantarkalong,-7.621710 108.109041,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.62171,108.109041,0,POINT (108.109041 -7.62171),7.0,Bantarkalong
Terminal simpang Simpang Bantarkalong,-7.623263 108.105920,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.623263,108.10592,0,POINT (108.10592 -7.623263),7.0,Bantarkalong
Simpang Simpang Bantarkalong,-7.620125 108.110967,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.620125,108.110967,0,POINT (108.110967 -7.620125),7.0,Bantarkalong
Jl. Karang nunggal simpang Simpang Bantarkalong,-7.6236828 108.1060444,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.6236828,108.1060444,0,POINT (108.1060444 -7.6236828),7.0,Bantarkalong
Jl. Karang nunggal simpang Bantar kalong Simpang Bantarkalong,-7.6234618 108.1061289,Rusak Ringan,PJU Konvensional,Tiang Stang,SON T,-7.6234618,108.1061289,1,POINT (108.1061289 -7.6234618),7.0,Bantarkalong
Simpang Simpang Bantarkalong,-7.624030 108.106841,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.62403,108.106841,0,POINT (108.106841 -7.62403),7.0,Bantarkalong
Citeureup Simpang Bantarkalong,-7.624370 108.106769,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.62437,108.106769,0,POINT (108.106769 -7.62437),7.0,Bantarkalong
Jl Bantar kalong Simpang Bantarkalong,-7.6229175 108.1050835,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.6229175,108.1050835,0,POINT (108.1050835 -7.6229175),7.0,Bantarkalong
Jl Bantar kalong simpan Simpang Bantarkalong,-7.6227347 108.1043446,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.6227347,108.1043446,0,POINT (108.1043446 -7.6227347),7.0,Bantarkalong
Cisuren Cisuren Bantarkalong,-7.631813 108.106614,Baik,PJU Konvensional,Tiang Tunggal,SON T,-7.631813,108.106614,0,POINT (108.106614 -7.631813),7.0,Bantarkalong
Jl Cipatujah Bantar kalong Simpang Bantarkalong,-7.6248831 108.1048864,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.6248831,108.1048864,0,POINT (108.1048864 -7.6248831),7.0,Bantarkalong
Singajaya Cisuren Bantarkalong,-7.634815 108.102735,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.634815,108.102735,0,POINT (108.102735 -7.634815),7.0,Bantarkalong
Jl cipatujah Bantar kalong Simpang Bantarkalong,-7.6242683 108.1051747,Baik,PJU Solar Cell,Tiang Tunggal,LED,-7.6242683,108.1051747,0,POINT (108.1051747 -7.6242683),7.0,Bantarkalong
