No;Lokasi;Kecamatan_Baru;Titik Koordinat;Lokasi Pemasangan;Kondisi;Jenis PJU;Jenis Tiang;Jenis Lampu
977;Dekat Cisayong, Kec. Cisayong, Kabupaten Tasikmalaya, Jawa Barat 46153 CISAYONG Cisayong;Cisayong;-7.2611619 108.1448992;;Baik;PJU Konvensional;Tiang Tunggal;SON T
978;Dekat Cisayong, Kec. Cisayong, Kabupaten Tasikmalaya, Jawa Barat 46153 CISAYONG Cisayong;Cisayong;-7.2621880 108.1447386;;Baik;PJU Konvensional;Tiang Tunggal;SON T
979;Dekat P4QV+2P2, Jl. Cisinga, Cisayong, Kec. Cisayong, Kabupaten Tasikmalaya, Jawa Barat 46153 CISAYONG Cisayong;Cisayong;-7.2625741 108.1442904;;Baik;PJU Konvensional;Tiang Tunggal;SON T
980;Jl sukasukur Sulasukur Cisayong;Cisayong;-7.2667138 108.1777952;;Baik;PJU Konvensional;Tiang Tunggal;SON T
981;Dekat Cisayong, Kec. Cisayong, Kabupaten Tasikmalaya, Jawa Barat 46153 CISAYONG Cisayong;Cisayong;-7.2617503 108.1446679;;Baik;PJU Konvensional;Tiang Tunggal;SON T
982;Dekat Cisayong, Kec. Cisayong, Kabupaten Tasikmalaya, Jawa Barat 46153 CISAYONG Cisayong;Cisayong;-7.2589898 108.1452003;;Baik;PJU Konvensional;Tiang Tunggal;LED
983;Dekat Jl. Raya Cisayong No.23, Cisayong, Kec. Cisayong, Kabupaten Tasikmalaya, Jawa Barat 46153 CISAYONG Cisayong;Cisayong;-7.2570112 108.1439390;;Baik;PJU Konvensional;Tiang Tunggal;SON T
984;CIDekat Jl. Cisinga, Cisayong, Kec. Cisayong, Kabupaten Tasikmalaya, Jawa Barat 46153 CISAYONG Cisayong;Cisayong;-7.2572972 108.1418683;;Baik;PJU Konvensional;Tiang Tunggal;SON T
985;Jl cisayong sukasukur Sukasukur Cisayong;Cisayong;-7.2654300 108.1807278;;Baik;PJU Konvensional;Tiang Tunggal;LED
986;Dekat Santanamekar, Kec. Cisayong, Kabupaten Tasikmalaya, Jawa Barat 46153 SANTANA MEKAR Cisayong;Cisayong;-7.2400142 108.1312129;;Baik;PJU Konvensional;Tiang Tunggal;LED
987;Jl cisayong Sukasukur Cisayong;Cisayong;-7.2633257 108.1763025;;Baik;PJU Konvensional;Tiang Tunggal;SON T
988;Jl sukaharja Sukaharja Cisayong;Cisayong;-7.2551510 108.1684460;;Baik;PJU Konvensional;Tiang Tunggal;SON T
989;Pertigaan kerenceng Sukaharja Cisayong;Cisayong;-7.2545031 108.1654312;;Baik;PJU Konvensional;Tiang Tunggal;SON T
990;Jl kerenceng Sukaharja Cisayong;Cisayong;-7.2526180 108.1653658;;Baik;PJU Konvensional;Tiang Tunggal;SON T
991;Jl Sukaharja kerenceng Sukajadi Cisayong;Cisayong;-7.2524936 108.1649179;;Baik;PJU Konvensional;Tiang Tunggal;LED
992;Kp sukajadi Sukajadi Cisayong;Cisayong;-7.2527667 108.1647318;;Baik;PJU Konvensional;Tiang Tunggal;LED
993;Sindangsari Sukajadi Cisayong;Cisayong;-7.2665604 108.1637920;;Baik;PJU Konvensional;Tiang Tunggal;LED
994;Jl nangela Sukasukur Cisayong;Cisayong;-7.2680976 108.1650081;;Baik;PJU Konvensional;Tiang Tunggal;SON T
995;Ciburuy kulon Sukasukur Cisayong;Cisayong;-7.2695736 108.1674365;;Baik;PJU Konvensional;Tiang Tunggal;SON T
996;Jl Mulyasari Cileuleus Cisayong;Cisayong;-7.2352613 108.1505688;;Baik;PJU Konvensional;Tiang Tunggal;SON T
997;Jl purwasari Cileuleus Cisayong;Cisayong;-7.2369023 108.1565025;;Baik;PJU Konvensional;Tiang Tunggal;SON T
998;Mulyasari Cileueles Cisayong;Cisayong;-7.2369170 108.1529304;;Baik;PJU Konvensional;Tiang Tunggal;SON T
999;Cileueles Cileuleus Cisayong;Cisayong;-7.2314070 108.1600390;;Baik;PJU Konvensional;Tiang Tunggal;LED
1000;Jl cileuleus Cileuleus Cisayong;Cisayong;-7.2315943 108.1603112;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1001;cileueles, cisayong;Cisayong;-7.2315943 108.1603112;;Baik;PJU Konvensional;Tiang Tunggal;LED
1002;Cibuyut;Cibuyut;-7.2304042 108.1570094;;Baik;PJU Konvensional;Tiang Tunggal;LED
1003;Cibuyut;Cibuyut;-7.2285688 108.1605285;;Baik;PJU Konvensional;Tiang Stang;SON T
1004;Cibuyut;Cibuyut;-7.230815 108.157650;;Baik;PJU Konvensional;Tiang Tunggal;LED
1005;Sukarame;Sukarame;-7.230417 108.156920;;Baik;PJU Konvensional;Tiang Stang;SON T
1006;Sukarame;Sukarame;-7.230504 108.156180;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1007;Sukarame;Sukarame;-7.231528 108.153260;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
1008;Sukarame;Sukarame;-7.230577 108.153360;;Baik;PJU Konvensional;Tiang Stang;SON T
1009;Sukarame;Sukarame;-7.232233 108.153070;;Baik;PJU Konvensional;Tiang Stang;SON T
1010;Mulyasari;Mulyasari;-7.232226 108.153020;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1011;Sukarame;Sukarame;-7.235279 108.150570;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
1012;Sukarame;Sukarame;-7.235305 108.150560;;Baik;PJU Konvensional;Tiang Stang;SON T
1013;Mulyasari;Mulyasari;-7.235101 108.150290;;Baik;PJU Konvensional;Tiang Stang;SON T
1014;Mulyasari;Mulyasari;-7.235823 108.151740;;Baik;PJU Konvensional;Tiang Tunggal;LED
1015;Mulyasari;Mulyasari;-7.235670 108.151430;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1016;Sukarame;Sukarame;-7.235956 108.151060;;Baik;PJU Konvensional;Tiang Tunggal;LED
1017;Cibuyut;Cibuyut;-7.236061 108.151950;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1018;Cirando;Cirando;-7.234848 108.163120;;Baik;PJU Konvensional;Tiang Stang;SON T
1019;Cirando;Cirando;-7.2616S 108.1626E;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1020;Cirando;Cirando;-7.2616S 108.1628E;;Baik;PJU Konvensional;Tiang Tunggal;LED
1021;Langkob;Langkob;-7.2612S 108.1629E;;Baik;PJU Konvensional;Tiang Stang;SON T
1022;Langkob Sukajadi;Sukajadi;-7.2645S 108.1600E;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1023;Langkob;Langkob;-7.2650S 108.1598E;;Baik;PJU Konvensional;Tiang Stang;SON T
1024;Langkob;Langkob;-7.2648S 108.1588E;;Baik;PJU Solar Cell;Tiang Stang;LED
1025;Sukamahi;Sukamahi;-7.2649S 108.1586E;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1026;Sukamahi;Sukamahi;-7.2644S 108.1579E;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1027;Sukamahi;Sukamahi;-7.2642S 108.1571E;;Baik;PJU Solar Cell;Tiang Tunggal;LED
1028;Sukamahi;Sukamahi;-7.2643S 108.1571E;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1029;Sukamahi;Sukamahi;-7.2641S 108.1570E;;Baik;PJU Solar Cell;Tiang Tunggal;LED
1030;Sukamahi;Sukamahi;-7.2642S 108.1571E;;Baik;PJU Solar Cell;Tiang Tunggal;LED
1031;Sukamahi;Sukamahi;-7.2640S 108.1565E;;Baik;PJU Solar Cell;Tiang Tunggal;LED
1032;Cikole;Cikole;-7.2662S 108.1564E;;Baik;PJU Solar Cell;Tiang Stang;LED
1033;Cikole;Cikole;-7.2648S 108.1563E;;Baik;PJU Solar Cell;Tiang Tunggal;LED
1034;Cikole;Cikole;-7.2686S 108.1575E;;Baik;PJU Solar Cell;Tiang Tunggal;LED
1035;Cantigi;Cantigi;-7.2606S 108.1587E;;Baik;PJU Solar Cell;Tiang Tunggal;LED
1036;Cantigi;Cantigi;-7.2605S 108.1583E;;Baik;PJU Konvensional;Tiang Stang;SON T
1037;Cantigi;Cantigi;-7.2602S 108.1572E;;Baik;PJU Solar Cell;Tiang Tunggal;LED
1038;Pertigaan jalan cigorowong;Cigorowong;-7.2308679 108.1297582;;Baik;PJU Solar Cell;Tiang Tunggal;LED
1039;Jl cigorowong;Tidak Diketahui;-7.2274020 108.1300944;;Baik;PJU Solar Cell;Tiang Tunggal;LED
1040;Jl nusawangi;Tidak Diketahui;-7.2119463 108.1916535;;Baik;PJU Solar Cell;Tiang Tunggal;LED
1041;Jl nisawangi;Tidak Diketahui;-7.2464277 108.1725776;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1042;Jl nusawangi;Tidak Diketahui;-7.2467068 108.1740408;;Baik;PJU Solar Cell;Tiang Tunggal;LED
1043;Jl nusawanhi;Tidak Diketahui;-7.2449297 108.1684842;;Baik;PJU Konvensional;Tiang Tunggal;LED
1044;Halaman mesjid nsw;Tidak Diketahui;-7.2446038 108.1669017;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1045;Jl nusawangi;Tidak Diketahui;-7.2447903 108.1719564;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1046;Jl cikadu;Tidak Diketahui;-7.2472180 108.1671854;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1047;Jl purwasari;Tidak Diketahui;-7.2486960 108.1658503;;Baik;PJU Konvensional;Tiang Tunggal;LED
1048;Jl cibodas;Tidak Diketahui;-7.2532429 108.1863112;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1049;Jl nusawangi;Tidak Diketahui;-7.2495741 108.1816452;;Baik;PJU Konvensional;Tiang Tunggal;LED
1050;Jl sindangsari;Tidak Diketahui;-7.2521374 108.1800291;;Baik;PJU Konvensional;Tiang Tunggal;LED
1051;Jl singdangsari;Tidak Diketahui;-7.2502609 108.1800144;;Baik;PJU Konvensional;Tiang Tunggal;LED
1052;Jl mekarwangi;Tidak Diketahui;-7.2501159 108.1823160;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1053;Jl mekarwangi;Tidak Diketahui;-7.2486668 108.1803118;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1054;Jl cinusa;Tidak Diketahui;-7.2470124 108.1810977;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1055;Perum jatiwangi;Tidak Diketahui;-7.2579045 108.1861141;;Baik;PJU Konvensional;Tiang Stang;SON T
1056;Perum jatiwangi;Tidak Diketahui;-7.2578547 108.1850948;;Baik;PJU Konvensional;Tiang Stang;SON T
1057;Jl cireunhit;Tidak Diketahui;-7.2591987 108.1768792;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1058;Jl cireungit;Tidak Diketahui;-7.2600318 108.1800576;;Baik;PJU Konvensional;Tiang Tunggal;LED
1059;Jl cireungit;Tidak Diketahui;-7.2601372 108.1807946;;Baik;PJU Konvensional;Tiang Tunggal;LED
1060;Jl cireungit;Tidak Diketahui;-7.2614779 108.1829011;;Baik;PJU Konvensional;Tiang Tunggal;LED
1061;Perum jatiwanhi;Tidak Diketahui;-7.2585983 108.1850667;;Baik;PJU Konvensional;Tiang Stang;SON T
1062;Jl mekarwangi;Tidak Diketahui;-7.2577785 108.1846284;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1063;Jl raya nasionala;Tidak Diketahui;-7.2541609 108.1879604;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1064;Jl nasioanal;Tidak Diketahui;-7.2518278 108.1886839;;Baik;PJU Konvensional;Tiang Stang;SON T
1065;Cidahu;Tidak Diketahui;-7.2494228 108.1880178;;Baik;PJU Konvensional;Tiang Tunggal;LED
1066;Jl nasionala;Tidak Diketahui;-7.2492511 108.1898497;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1067;Cidahu kaler;Tidak Diketahui;-7.2448329 108.1904572;;Baik;PJU Konvensional;Tiang Stang;SON T
1068;Jl cidahu;Tidak Diketahui;-7.2497833 108.1880372;;Baik;PJU Konvensional;Tiang Tunggal;LED
1069;Jl banuherang;Tidak Diketahui;-7.2152808 108.1573846;;Baik;PJU Konvensional;Tiang Tunggal;LED
1070;Jl calingcing;Tidak Diketahui;-7.2149791 108.1563603;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1071;Jl santana mekar;Tidak Diketahui;-7.2536590 108.1341791;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1072;Jl santana mekar;Tidak Diketahui;-7.2541213 108.1359058;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1073;Jl santana mekar;Tidak Diketahui;-7.2514177 108.1314185;;Baik;PJU Konvensional;Tiang Tunggal;LED
1074;Jl santanamekar;Tidak Diketahui;-7.2425041 108.1153902;;Baik;PJU Konvensional;Tiang Tunggal;LED
1075;Sindangkasih;Tidak Diketahui;-7.2470284 108.1217635;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1076;Pju pasir;Tidak Diketahui;-7.2480325 108.1238496;;Baik;PJU Konvensional;Tiang Tunggal;LED
1077;Sukamukti tekakalapa;Tidak Diketahui;-7.2322239 108.1259286;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1078;Sukamukti;Tidak Diketahui;-7.2319259 108.1265217;;Baik;PJU Konvensional;Tiang Tunggal;LED
1079;Jl tejakalap;Tidak Diketahui;-7.2333993 108.1251106;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1080;Sukasetia;Tidak Diketahui;-7.2404113 108.1389662;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1081;Tekahurip;Tidak Diketahui;-7.2409774 108.1393286;;Baik;PJU Konvensional;Tiang Tunggal;LED
1082;Jl cigorowo g;Tidak Diketahui;-7.2415339 108.1397048;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1083;Pju sukananjung;Tidak Diketahui;-7.2446819 108.1437559;;Baik;PJU Konvensional;Tiang Tunggal;LED
1084;Jl cihirowong;Tidak Diketahui;-7.2418372 108.1399465;;Baik;PJU Konvensional;Tiang Tunggal;LED
1085;Bojongkupa;Tidak Diketahui;-7.2611519 108.1683981;;Baik;PJU Konvensional;Tiang Stang;Mercury
1086;Jl. Raya Cisayong;Tidak Diketahui;-7.2622185 108.1708027;;Baik;PJU Konvensional;Tiang Stang;Mercury
1087;Jl. Raya Cisayong;Tidak Diketahui;-7.2619082 108.1659278;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
1088;Jl. Raya Cisayong;Tidak Diketahui;-7.2618863 1081653454;;Baik;PJU Konvensional;Tiang Stang;SON T
1089;Jl. Cisayong;Tidak Diketahui;-7.2581660 108.1671230;;Baik;PJU Konvensional;Tiang Stang;Mercury
1090;Jl. Mekarwangi;Tidak Diketahui;-7.2545374 108.1874984;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
1091;Jl. Raya Cibodas;Tidak Diketahui;-7.2658347 108.1860936;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
1092;Jl. Sukasukur;Tidak Diketahui;-7.2688443 108.1791259;;Baik;PJU Konvensional;Tiang Stang;LED
1093;Jl. Sukasukur;Tidak Diketahui;-7.2671305 108.1800050;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1094;Jl. Sukamulya;Tidak Diketahui;-7.27457566 108.1795993;;Baik;PJU Konvensional;Tiang Stang;SON T
1095;Jl. Sukamulya;Tidak Diketahui;-7.2737824 108.1780879;;Baik;PJU Konvensional;Tiang Stang;LED
1096;Jl. Munjul;Tidak Diketahui;-7.2705025 108.1814869;;Baik;PJU Konvensional;Tiang Stang;LED
1097;Jl cikadu;Tidak Diketahui;-7.2522269 108.1547681;;Baik;PJU Konvensional;Tiang Tunggal;LED
1098;Jl purwasari;Tidak Diketahui;-7.2536221 108.1546826;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1099;Jl cikadu;Tidak Diketahui;-7.2559030 108.1515615;;Baik;PJU Konvensional;Tiang Tunggal;LED
1100;Jl purwasari;Tidak Diketahui;-7.1670495 108.1399650;;Baik;PJU Konvensional;Tiang Tunggal;LED
1101;Jl purwasari;Tidak Diketahui;-7.1554746 108.1439310;;Baik;PJU Konvensional;Tiang Tunggal;LED
1102;Jantake;Tidak Diketahui;-7.2479640 108.1561028;;Baik;PJU Konvensional;Tiang Tunggal;LED
1103;Cikadu;Tidak Diketahui;-7.2481509 108.1569846;;Baik;PJU Konvensional;Tiang Tunggal;LED
1104;Pju desa purwasari;Tidak Diketahui;-7.2481509 108.1569846;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1105;Cikadu kubang sd;Tidak Diketahui;-7.2481230 108.1581296;;Baik;PJU Konvensional;Tiang Tunggal;LED
1106;Cikadu;Tidak Diketahui;-7.2463123 108.1584749;;Baik;PJU Konvensional;Tiang Tunggal;LED
1107;Purwasari;Tidak Diketahui;-7.2451126 108.1624120;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1108;Babakan jambu;Tidak Diketahui;-7.2613951 108.1503113;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1109;Babakan jambu;Tidak Diketahui;-7.2607765 108.1506573;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1110;Gorowong sukasetia;Tidak Diketahui;-7.2322651 108.1302651;;Baik;PJU Konvensional;Tiang Tunggal;LED
1111;Sukasetai;Tidak Diketahui;-7.2330441 108.1304757;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1112;Sukasetia;Tidak Diketahui;-7.2339219 108.1310101;;Baik;PJU Konvensional;Tiang Stang;LED
1113;Kp gorowonh;Tidak Diketahui;-7.2344913 108.1316662;;Baik;PJU Konvensional;Tiang Tunggal;LED
1114;Sukamaju sukamukti;Tidak Diketahui;-7.2314359 108.1311425;;Baik;PJU Konvensional;Tiang Tunggal;LED
1115;Cikawung;Tidak Diketahui;-7.2286234 108.1305806;;Baik;PJU Konvensional;Tiang Tunggal;LED
1116;Cireinhi;Tidak Diketahui;-7.2258687 108.1295188;;Baik;PJU Konvensional;Tiang Tunggal;LED
1117;Desa sukamukti;Tidak Diketahui;-7.2314782 108.1301360;;Baik;PJU Konvensional;Tiang Tunggal;LED
1118;Pjugraha jati hurip;Tidak Diketahui;-7.2679939 108.1872768;;Baik;PJU Konvensional;Tiang Stang;SON T
1119;Graha jati hurip;Tidak Diketahui;-7.2682579 108.1868352;;Baik;PJU Konvensional;Tiang Stang;SON T
1120;Gtaha jati hurip;Tidak Diketahui;-7.2686434 108.1867585;;Baik;PJU Konvensional;Tiang Stang;SON T
1121;Graha jatihurip;Tidak Diketahui;-7.2686421 108.1863779;;Baik;PJU Konvensional;Tiang Stang;SON T
1122;Graha jatihurip;Tidak Diketahui;-7.2685998 108.1861003;;Baik;PJU Konvensional;Tiang Stang;SON T
1123;Graha jatihurip;Tidak Diketahui;-7.2687315 108.1874025;;Baik;PJU Konvensional;Tiang Stang;SON T
1124;Graha jatihurip;Tidak Diketahui;-7.2689906 108.1873834;;Baik;PJU Konvensional;Tiang Stang;SON T
1125;Grahajatihurip;Tidak Diketahui;-7.2689723 108.1869033;;Baik;PJU Konvensional;Tiang Stang;SON T
1126;Pju padasuka;Tidak Diketahui;-7.2722270 108.1914168;;Baik;PJU Konvensional;Tiang Tunggal;LED
1127;Pangkalan;Tidak Diketahui;-7.2622475 108.1707433;;Baik;PJU Konvensional;Tiang Stang;LED
1128;Jl cisayong;Tidak Diketahui;-7.2621141 108.1686267;;Baik;PJU Konvensional;Tiang Tunggal;LED
1129;Perum sukasirna;Tidak Diketahui;-7.2623246 108.1669587;;Baik;PJU Konvensional;Tiang Stang;SON T
1130;Pju sukasirna;Tidak Diketahui;-7.2625681 108.1669430;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1131;Cikondang;Tidak Diketahui;-7.2672206 108.1691766;;Baik;PJU Konvensional;Tiang Stang;SON T
1132;Ciburuy;Tidak Diketahui;-7.2704517 108.1678211;;Baik;PJU Konvensional;Tiang Tunggal;LED
1133;Miftahul khoer;Tidak Diketahui;-7.2709033 108.1689835;;Baik;PJU Konvensional;Tiang Stang;LED
1134;Nusawangi;Tidak Diketahui;-7.2414018 108.1668068;;Baik;PJU Konvensional;Tiang Tunggal;LED
1135;Jl cilelues;Tidak Diketahui;-7.2405527 108.1659556;;Baik;PJU Konvensional;Tiang Stang;LED
1136;Jl cileuleus;Tidak Diketahui;-7.2400175 108.1655130;;Baik;PJU Konvensional;Tiang Tunggal;LED
1137;Sindang tanjung;Tidak Diketahui;-7.2400115 108.1654641;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1138;Sindang tanjung;Tidak Diketahui;-7.2378240 108.1640971;;Baik;PJU Konvensional;Tiang Tunggal;LED
1139;Sukamulya;Tidak Diketahui;-7.2378765 108.1641089;;Baik;PJU Konvensional;Tiang Tunggal;LED
1140;Sindang;Tidak Diketahui;-7.2322266 108.1616433;;Baik;PJU Konvensional;Tiang Stang;SON T
1141;Kantor desa cileuleus;Tidak Diketahui;-7.2328725 108.1630169;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1142;Sindang tanjung;Tidak Diketahui;-7.2340050 108.1630853;;Baik;PJU Konvensional;Tiang Tunggal;LED
1143;Cileuleus;Tidak Diketahui;-7.2351292 108.1635278;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1144;Cileuleus;Tidak Diketahui;-7.2353837 108.1640660;;Baik;PJU Konvensional;Tiang Stang;SON T
1145;Cileues;Tidak Diketahui;-7.2356963 108.1644854;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1146;Cileuleus;Tidak Diketahui;-7.2368994 108.1645199;;Baik;PJU Konvensional;Tiang Stang;LED
1147;Jln Pagendingan;Tidak Diketahui;-7.2674006 108.1843626;;Baik;PJU Konvensional;Tiang Tunggal;LED
1148;Jln Pagendingan;Tidak Diketahui;-7.2675429 108.1846553;;Baik;PJU Konvensional;Tiang Tunggal;LED
1149;Pju Pst. Idrisiah;Tidak Diketahui;-7.2654433 108.1858663;;Baik;PJU Konvensional;Tiang Stang;LED
1150;Jl nasional;Tidak Diketahui;-7.2790395 108.1958186;;Baik;PJU Konvensional;Tiang Stang;LED
1151;Jl nasional;Tidak Diketahui;-7.2787425 108.1956590;;Baik;PJU Konvensional;Tiang Tunggal;LED
1152;Jl nasional;Tidak Diketahui;-7.2782739 108.1954502;;Baik;PJU Konvensional;Tiang Stang;LED
1153;Jl nasional;Tidak Diketahui;-7.2776031 108.1950706;;Baik;PJU Konvensional;Tiang Tunggal;LED
1154;Jl nasoinal;Tidak Diketahui;-7.2770237 108.1948319;;Baik;PJU Konvensional;Tiang Tunggal;LED
1155;Jl nasional;Tidak Diketahui;-7.2765545 108.1946727;;Baik;PJU Konvensional;Tiang Tunggal;LED
1156;Jl nasional;Tidak Diketahui;-7.2760919 108.1945516;;Baik;PJU Konvensional;Tiang Tunggal;LED
1157;Jl nasional;Tidak Diketahui;-7.2753549 108.1943106;;Baik;PJU Konvensional;Tiang Tunggal;LED
1158;Jl nasional;Tidak Diketahui;-7.2750073 108.1941023;;Baik;PJU Konvensional;Tiang Tunggal;LED
1159;Jl nasional;Tidak Diketahui;-7.2745337 108.1937791;;Baik;PJU Konvensional;Tiang Tunggal;LED
1160;Jl nasional;Tidak Diketahui;-7.2739138 108.1932162;;Baik;PJU Konvensional;Tiang Tunggal;LED
1161;Pju Sukasetia;Tidak Diketahui;-7.2316501 108.1301913;;Baik;PJU Konvensional;Tiang Stang;Mercury
1162;Pju Sukasetia;Tidak Diketahui;-7.2316501 108.1301913;;Baik;PJU Konvensional;Tiang Stang;Mercury
1163;Pju Sukasetia;Tidak Diketahui;-7.2316501 108.1301913;;Baik;PJU Konvensional;Tiang Stang;Mercury
1164;Pju Sukasetia;Tidak Diketahui;-7.2316501 108.1301913;;Baik;PJU Konvensional;Tiang Stang;Mercury
1165;Pju Cileules;Tidak Diketahui;-7.2402108 108.1480005;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1166;Pju Cileules;Tidak Diketahui;-7.2352440 108.1462950;;Baik;PJU Konvensional;Tiang Tunggal;LED
1167;Pju Cileules;Tidak Diketahui;-7.2344767 108.1469746;;Baik;PJU Konvensional;Tiang Tunggal;SON T
1168;Pju Cileules;Tidak Diketahui;-7.2303217 108.1539091;;Baik;PJU Konvensional;Tiang Stang;LED
1169;Pju Cileules;Tidak Diketahui;-7.2303217 108.1539091;;Baik;PJU Konvensional;Tiang Stang;LED
1170;Pju Cileules;Tidak Diketahui;-7.2303217 108.1539091;;Baik;PJU Konvensional;Tiang Stang;LED
1171;Pju Cileules;Tidak Diketahui;-7.2303217 108.1539091;;Baik;PJU Konvensional;Tiang Stang;LED
1172;Pju Cileules;Tidak Diketahui;-7.2303217 108.1539091;;Baik;PJU Konvensional;Tiang Stang;LED
1173;Pju Cileules;Tidak Diketahui;-7.2303217 108.1539091;;Baik;PJU Konvensional;Tiang Stang;LED
1174;Pju Cileules;Tidak Diketahui;-7.2323862 108.1618565;;Baik;PJU Konvensional;Tiang Stang;LED
1175;Pju Sindang;Tidak Diketahui;-7.2323862 108.1618565;;Baik;PJU Konvensional;Tiang Stang;Mercury
1176;Pju Sindang;Tidak Diketahui;-7.2323862 108.1618565;;Baik;PJU Konvensional;Tiang Stang;Mercury
1177;Pju Sindang;Tidak Diketahui;-7.2323862 108.1618565;;Baik;PJU Konvensional;Tiang Stang;Mercury
1178;Jl cisayongJatuh urip;Tidak Diketahui;-7.2666323 108.1853252;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
1179;Desa jatuh urip;Tidak Diketahui;-7.2724292 108.1911905;;Baik;PJU Konvensional;Tiang Stang;Mercury
1180;"pju sukamukti
";Tidak Diketahui;-7.2457702 108.1294189;;Baik;PJU Konvensional;Tiang Tunggal;LED
1181;jl suka setia;Tidak Diketahui;-7.2267584 108.1303241;;Baik;PJU Konvensional;Tiang Tunggal;LED
1182;Jl cibungkuk padasuka;Tidak Diketahui;-7.2723417 108.1845386;;Baik;PJU Konvensional;Tiang Stang;SON T
1183;Jl leuwi bodas;Tidak Diketahui;-7.2532366 108.1345050;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
1184;Pju Cileules;Tidak Diketahui;-7.2323905 108.1619571;;Baik;PJU Konvensional;Tiang Stang;LED
1185;Pju Cileules;Tidak Diketahui;-7.2323905 108.1619571;;Baik;PJU Konvensional;Tiang Stang;LED
1186;Pju Cileules;Tidak Diketahui;-7.2323905 108.1619571;;Baik;PJU Konvensional;Tiang Stang;LED
1187;Pju Cileules;Tidak Diketahui;-7.2323905 108.1619571;;Baik;PJU Konvensional;Tiang Stang;LED
1188;Jl nusawangin;Tidak Diketahui;-7.2473031 108.1669346;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
1189;Jl nusawangi;Tidak Diketahui;-7.2466895 108.1663753;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
1190;Jl nusawangi;Tidak Diketahui;-7.2467124 108.1663173;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
1191;Jl nusawangi;Tidak Diketahui;-7.2460359 108.1670385;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
1192;Jl nusawangi;Tidak Diketahui;-7.2462744 108.1669021;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
1193;Jl nusawangi;Tidak Diketahui;-7.2467287 108.1668548;;Baik;PJU Konvensional;Tiang Stang;Mercury
1194;kp cinusa sangkali;Tidak Diketahui;-7.2455217 108.1777643;;Baik;PJU Konvensional;Tiang Stang;Mercury
1195;kp cibiuk;Tidak Diketahui;-7.2469516 108.1754184;;Baik;PJU Konvensional;Tiang Tunggal;Mercury
1196;Cinusa hilir;Tidak Diketahui;-7.2484426 108.1764578;;Baik;PJU Konvensional;Tiang Stang;Mercury
