No;Lokasi;Kecamatan_Baru;Titik Koordinat;Lokasi Pemasangan;Kondisi;Jenis PJU;Jenis Tiang;Jenis Lampu
41;Jl pamijahan Hegarwangi Bantarkalong;Bantakalong;-7.6172462 108.1047861;Kanan;Baik;PJU Konvensional;Tiang Tunggal;SON T
42;Babakan cisegel Hegarwangi Bantarkalong;Bantakalong;-7.612477 108.106554;Kanan;Baik;PJU Konvensional;Tiang Tunggal;SON T
43;Cisegel Hegarwangi Bantarkalong;Bantakalong;-7.610225 108.106997;Kanan;Baik;PJU Konvensional;Tiang Stang;SON T
44;Jl pamijahan Hegar wangi Bantarkalong;Bantakalong;-7.6124924 108.1064628;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
45;Parakan honje Parakanhonje Bantarkalong;Bantakalong;-7.607462 108.107773;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
46;Cimokia Bantar kalong Bantarkalong;Bantakalong;-7.599482 108.104769;Kanan;Rusak Berat;PJU Konvensional;Tiang Tunggal;SON T
47;Sukawangun Parakanhonje Bantarkalong;Bantakalong;-7.606768 108.106997;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
48;Jl raya pamijahan Hegarwangi Bantarkalong;Bantakalong;-7.6111917 108.1072048;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
49;Ciomas Parakanhonye Bantarkalong;Bantakalong;-7.595440 108.103180;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
50;Jl pamijahan Parakanhonje Bantarkalong;Bantakalong;-7.6022910 108.1111979;Kanan;Baik;PJU Solar Cell;Tiang Stang;LED
51;Cimokia Bantarkalong Bantarkalong;Bantakalong;-7.601762 108.103450;Kanan;Rusak Ringan;PJU Konvensional;Tiang Tunggal;Mercury
52;Cihandiwung Parakanhonje Bantarkalong;Bantakalong;-7.577336 108.109062;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
53;Jl pamijahan Parakanhonje Bantarkalong;Bantakalong;-7.6016320 108.1102186;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
54;Cimokla Hegarwangi Bantarkalong;Bantakalong;-7.603045 108.106722;Kiri;Rusak Ringan;PJU Konvensional;Tiang Tunggal;Mercury
55;Parakanhonje Parakanhonje Bantarkalong;Bantakalong;-7.576844 108.107914;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
56;Jl pamijahan Parakanhonje Bantarkalong;Bantakalong;;Kiri;Baik;PJU Konvensional;Tiang Stang;SON T
57;Cisuren,tidak ada alamat tersebut Parakanhonje Bantarkalong;Bantakalong;-7.575798 108.105958;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
58;Jl pamijahan Parakanhonje Bantarkalong;Bantakalong;-7.5917986 108.1137172;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
59;Jl pamijahan Parakan honje Bantarkalong;Bantakalong;-7.5896314 108.1111614;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
60;Jl pamijahan Parakanhonje Bantarkalong;Bantakalong;-7.5892854 108.1107473;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
61;Jl pamijahan Parakanhonje Bantarkalong;Bantakalong;-7.5891857 108.1117498;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
62;Sukawangun Parakanhonje Bantarkalong;Bantakalong;-7.573310 108.105113;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
63;Jl Bantar kalong simpang urmi Parakanhonje Bantarkalong;Bantakalong;-7.5715714 108.1032492;Kiri;Baik;PJU Konvensional;Tiang Stang;SON T
64;Cihandiwung Parakanhonje Bantarkalong;Bantakalong;-7.575239 108.105104;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
65;Cihandiwung Parakanhonje Bantarkalong;Bantakalong;-7.575148 108.105484;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
66;Parungpung Pamijahan Bantarkalong;Bantakalong;-7.574971 108.093208;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
67;Cigaru 3 Pamijahan Bantarkalong;Bantakalong;-7.572667 108.087850;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
68;kebon cangkok Pamijahan Bantarkalong;Bantakalong;-7.572979 108.087785;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
69;Jl pamijahan Pamijahan Bantarkalong;Bantakalong;-7.5682568 108.0840453;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
70;Parungpung Pamijahan Bantarkalong;Bantakalong;-7.572208 108.087172;Kiri;Baik;PJU Konvensional;Tiang Tunggal;SON T
71;Jl pamijahan Pamijahan Bantarkalong;Bantakalong;-7.5684968 108.0839289;Kiri;Baik;PJU Solar Cell;Tiang Tunggal;LED
72;Jabal rohmat Pamijahan Bantarkalong;Bantakalong;-7.571845 108.086677;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
73;Panyalahan Pamijahan Bantarkalong;Bantakalong;-7.566149 108.070027;Kanan;Baik;PJU Konvensional;Tiang Tunggal;SON T
74;Jl pamijahan Pamijahan Bantarkalong;Bantakalong;-7.5719213 108.0867848;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
75;Jl pamijahan Pamijahan Bantarkalong;Bantakalong;-7.5694453 108.0846129;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
76;Jl pamijahan Pamijahan Bantarkalong;Bantakalong;-7.5696932 108.0846686;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
77;Jl mijahan terminal Pamijahan Bantarkalong;Bantakalong;-7.5696962 108.0848067;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
78;Pamijahan Pamijahan Bantarkalong;Bantakalong;-7.568800 108.070836;Kanan;Baik;PJU Konvensional;Tiang Tunggal;SON T
79;Jl pamijahan Pamijahan Bantarkalong;Bantakalong;-7.5700429 108.0848375;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
80;Pamijahan Pamijahan Bantarkalong;Bantakalong;-7.569158 108.070926;Kanan;Baik;PJU Konvensional;Tiang Tunggal;SON T
81;Jl pamijahan Pamijahan Bantar kalong Bantarkalong;Bantakalong;-7.5699824 108.0844275;Kanan;Baik;PJU Solar Cell;Tiang Tunggal;LED
82;PAMIJAHAN Pamijahan Bantarkalong;Bantakalong;-7.567743 108.071754;Kanan;Baik;PJU Konvensional;Tiang Tunggal;SON T
83;Panyalahan cikapinis pamijahan Pamijahan Bantarkalong;Bantakalong;-7.570656 108.073948;Kanan;Baik;PJU Konvensional;Tiang Tunggal;SON T
84;Panyalahan cikapinis pamijahan Pamijahan Bantarkalong;Bantakalong;-7.568173 108.072423;Kiri;Baik;PJU Konvensional;Tiang Tunggal;Mercury
